Fold,Model,RMSE,MAE,R2
1,1 AdaBoostRegressor,0.8839171784449497,0.7165063612471421,0.2186938951076412
2,1 AdaBoostRegressor,0.8922592955034333,0.7187416883607906,0.2027537046710408
3,1 AdaBoostRegressor,0.9059162039033802,0.7392869628958763,0.1813543974231123
4,1 AdaBoostRegressor,0.8884623601812723,0.7248548028444205,0.2135462934485738
5,1 AdaBoostRegressor,0.9127519642802538,0.7474669663162756,0.1652101046347925
6,1 AdaBoostRegressor,0.919216882490117,0.755302855895984,0.1531436932788618
7,1 AdaBoostRegressor,0.8945132242478981,0.7115396511833851,0.1974236744974379
8,1 AdaBoostRegressor,0.8834362460318332,0.7174375494680914,0.2172919948130123
9,1 AdaBoostRegressor,0.9115169386029056,0.7441602811527934,0.171455204326274
10,1 AdaBoostRegressor,0.8975296548856428,0.7377506810724472,0.1964834890571177
STD,1 AdaBoostRegressor,0.0120449882016405,0.0145225334626227,0.0217804536144993
Average_tr,1 AdaBoostRegressor,0.8989519948571687,0.7313047800437207,0.1917356451257864
Average_ts,1 AdaBoostRegressor,0.8995295011312198,0.7314278587639381,0.1903110813644585
1,2 BayesianRidge,0.9095784623451734,0.6506881370642253,0.1726706989011402
2,2 BayesianRidge,0.9090463252032788,0.6510118462257649,0.1724726072400257
3,2 BayesianRidge,0.9108557587995364,0.6517655206925983,0.1724026439586947
4,2 BayesianRidge,0.9115609974507136,0.652273311090465,0.1721215720709747
5,2 BayesianRidge,0.9083742069067804,0.6502737629357512,0.173198569967873
6,2 BayesianRidge,0.908858814382804,0.6503339475064596,0.1721215288433371
7,2 BayesianRidge,0.9087856684840444,0.6505860320801496,0.1716082729503603
8,2 BayesianRidge,0.9087189462255184,0.6500705555818872,0.171850938561201
9,2 BayesianRidge,0.9103043280134108,0.6518022461958384,0.1736581999308862
10,2 BayesianRidge,0.91016221664853,0.6516786491763699,0.1737056234078046
STD,2 BayesianRidge,0.001001344330023,0.0007342861626139,0.0006898921123434
Average_tr,2 BayesianRidge,0.9096245724459788,0.651048400854951,0.1725810655832297
Average_ts,2 BayesianRidge,0.909936522870916,0.6512961886668909,0.1718481840248725
1,3 ElasticNetRegressor,1.0000022228508392,0.707801595288958,0.0
2,3 ElasticNetRegressor,0.9992975581673346,0.7075542449422879,0.0
3,3 ElasticNetRegressor,1.0012443103558244,0.708643370228308,0.0
4,3 ElasticNetRegressor,1.001849421604987,0.7089081845721723,0.0
5,3 ElasticNetRegressor,0.9989970009929876,0.7072275107808761,0.0
6,3 ElasticNetRegressor,0.9988795662435552,0.7072347560758574,0.0
7,3 ElasticNetRegressor,0.998489708871831,0.7068223939016401,0.0
8,3 ElasticNetRegressor,0.9985626687204384,0.7068764016095875,0.0
9,3 ElasticNetRegressor,1.0013980621465182,0.7085624524183914,0.0
10,3 ElasticNetRegressor,1.001270461462017,0.7092255642577511,0.0
STD,3 ElasticNetRegressor,0.0012505606451564,0.0008364179045478,0.0
Average_tr,3 ElasticNetRegressor,0.9999990981416332,0.707885647407583,0.0
Average_ts,3 ElasticNetRegressor,0.9999387861396236,0.7078870623505847,-2.3838912835083548e-05
1,4 KNeighborsRegressor,0.7364091248073535,0.5425966653869495,0.4577040117893319
2,4 KNeighborsRegressor,0.7368891023707292,0.5425368444170794,0.4562307866307562
3,4 KNeighborsRegressor,0.738835959400308,0.5442258371682633,0.4554773784598261
4,4 KNeighborsRegressor,0.738969705773991,0.544172171828116,0.4559380347422318
5,4 KNeighborsRegressor,0.7360559589849296,0.5419467033073928,0.4571331816110312
6,4 KNeighborsRegressor,0.7364761569164735,0.5423082526136433,0.4563853844003729
7,4 KNeighborsRegressor,0.735992895858875,0.5427944875826638,0.4566745373073703
8,4 KNeighborsRegressor,0.7357516898319978,0.5411530049841141,0.4571099467676865
9,4 KNeighborsRegressor,0.7389997160944622,0.5442689361104255,0.4554032442875704
10,4 KNeighborsRegressor,0.7384800127518195,0.5441643664557368,0.4560303337673669
STD,4 KNeighborsRegressor,0.0012931063038745,0.0010610645573452,0.0007099512175336
Average_tr,4 KNeighborsRegressor,0.737286032279094,0.5430167269854385,0.4564086839763545
Average_ts,4 KNeighborsRegressor,0.9079636599927444,0.6677292891010987,0.1754984420016238
1,5 LassoRegressor,1.0000022228508392,0.707801595288958,0.0
2,5 LassoRegressor,0.9992975581673346,0.7075542449422879,0.0
3,5 LassoRegressor,1.0012443103558244,0.708643370228308,0.0
4,5 LassoRegressor,1.001849421604987,0.7089081845721723,0.0
5,5 LassoRegressor,0.9989970009929876,0.7072275107808761,0.0
6,5 LassoRegressor,0.9988795662435552,0.7072347560758574,0.0
7,5 LassoRegressor,0.998489708871831,0.7068223939016401,0.0
8,5 LassoRegressor,0.9985626687204384,0.7068764016095875,0.0
9,5 LassoRegressor,1.0013980621465182,0.7085624524183914,0.0
10,5 LassoRegressor,1.001270461462017,0.7092255642577511,0.0
STD,5 LassoRegressor,0.0012505606451564,0.0008364179045478,0.0
Average_tr,5 LassoRegressor,0.9999990981416332,0.707885647407583,0.0
Average_ts,5 LassoRegressor,0.9999387861396236,0.7078870623505847,-2.3838912835083548e-05
1,6 LinearRegression,0.9060936813953788,0.6484756002699952,0.1789978904698826
2,6 LinearRegression,0.9056354812059132,0.648726861963289,0.1786709086205136
3,6 LinearRegression,0.9073855434764724,0.6493937280050395,0.17869665962406
4,6 LinearRegression,0.9080187675269612,0.6500236414841808,0.1785431675242236
5,6 LinearRegression,0.904721776192619,0.6478867764639894,0.1798340815719971
6,6 LinearRegression,0.9053653775379208,0.6480272643999082,0.1784736327292558
7,6 LinearRegression,0.9051549161370692,0.6481009183124882,0.1782141806047559
8,6 LinearRegression,0.905211546524146,0.6478360803632538,0.1782314464553062
9,6 LinearRegression,0.9065836605137718,0.6493947172102446,0.1803993736844397
10,6 LinearRegression,0.9065343186650694,0.6491742580226952,0.1802796982762589
STD,6 LinearRegression,0.0010042745827348,0.0007218668673462,0.0007857608869748
Average_tr,6 LinearRegression,0.9060705069175322,0.6487039846495083,0.1790341039560694
Average_ts,6 LinearRegression,0.9064041242984964,0.6489671230978076,0.1782588479459749
1,7 MLPRegressor,0.6787861437367433,0.5177085249290121,0.5392514194240159
2,7 MLPRegressor,0.6569091592962274,0.4946497026329063,0.5678634681046356
3,7 MLPRegressor,0.6742242151981869,0.5121790388640702,0.5465508726095223
4,7 MLPRegressor,0.6643037741447138,0.4994627839149859,0.5603282762627491
5,7 MLPRegressor,0.6602959776279713,0.4915874236243162,0.5631333077021325
6,7 MLPRegressor,0.6722740132639152,0.504725997255123,0.5470331811029178
7,7 MLPRegressor,0.6712915897643268,0.5067335718915145,0.5480033394138148
8,7 MLPRegressor,0.6581429855196118,0.4932324544283733,0.5655999545011214
9,7 MLPRegressor,0.6816232164607912,0.5172944528513063,0.5366861793936345
10,7 MLPRegressor,0.673961600507209,0.5085623701891249,0.5469277140907113
STD,7 MLPRegressor,0.0082737162715226,0.0091358554918274,0.0105963784717385
Average_tr,7 MLPRegressor,0.6691812675519696,0.5046136320580733,0.5521377712605255
Average_ts,7 MLPRegressor,0.672546800031122,0.5066151784245874,0.547389980826186
1,8 RidgeRegressor,0.9095775091670336,0.6507561990111672,0.1726724328731363
2,8 RidgeRegressor,0.9090446201170392,0.6510818411295266,0.1724757116016138
3,8 RidgeRegressor,0.9108542639217904,0.6518349215461104,0.1724053604279993
4,8 RidgeRegressor,0.911559274771604,0.6523427726459312,0.1721247011375527
5,8 RidgeRegressor,0.9083724186367128,0.6503446526936044,0.1732018253284564
6,8 RidgeRegressor,0.9088581869813284,0.6504021172098403,0.1721226718415385
7,8 RidgeRegressor,0.908783478083595,0.6506546105953361,0.1716122662074884
8,8 RidgeRegressor,0.908717486548836,0.6501397268755632,0.1718535990733618
9,8 RidgeRegressor,0.9103028607918932,0.6518741019867296,0.1736608637114608
10,8 RidgeRegressor,0.9101610022246576,0.6517474471641509,0.1737078284453875
STD,8 RidgeRegressor,0.0010013523290061,0.0007346051944207,0.0006897335175804
Average_tr,8 RidgeRegressor,0.9096231101244492,0.651117839085796,0.1725837260647996
Average_ts,8 RidgeRegressor,0.9099398562942292,0.6513680933267747,0.1718420208004748
1,9 SVR,0.9196952333551528,0.641690726919788,0.1541644380805676
2,9 SVR,0.9192249509608684,0.6420116517285087,0.1538371466776535
3,9 SVR,0.9209553514591128,0.6428654247716982,0.1539480529665595
4,9 SVR,0.9217029585911448,0.643317478198022,0.1535972621464424
5,9 SVR,0.9185505263113198,0.6413131873601998,0.1545698499197956
6,9 SVR,0.9189124148466477,0.6413828441297447,0.1537046003887874
7,9 SVR,0.9191502905691292,0.6415476932429526,0.1526050500872011
8,9 SVR,0.9188937600937068,0.6410148373310688,0.1532017478487262
9,9 SVR,0.9205684033176922,0.6427015615710425,0.1549184197269806
10,9 SVR,0.9202113185281224,0.6428020094716724,0.1553586611055289
STD,9 SVR,0.0009822393068503,0.0007550965199098,0.0007682509757167
Average_tr,9 SVR,0.9197865208032898,0.6420647414724698,0.1539905228948243
Average_ts,9 SVR,0.9199506513059384,0.6423327774688338,0.1535358090169608
1,StackingRegressor,0.0001106515067804,1.5404892147033024e-05,0.9999999877562984
2,StackingRegressor,7.030848565143693e-05,1.5143822061141544e-05,0.9999999950497648
3,StackingRegressor,3.290250779285592e-05,1.1893077334918367e-05,0.999999998920114
4,StackingRegressor,0.0001295744923846,2.3591667367066206e-05,0.9999999832723808
5,StackingRegressor,0.0001090081038452,2.3254530019023894e-05,0.9999999880933604
6,StackingRegressor,0.0001342606545067,2.537736524331037e-05,0.999999981933615
7,StackingRegressor,0.0001905515198618,4.749501345884823e-05,0.9999999635801924
8,StackingRegressor,0.0001367497269404,2.196050356443132e-05,0.9999999812456384
9,StackingRegressor,0.0001900863518153,2.5887267450820545e-05,0.9999999639679992
10,StackingRegressor,0.0001709070067533,2.7326173807454413e-05,0.999999970864872
STD,StackingRegressor,4.770498719708512e-05,9.335923970949393e-06,1.1465822085495856e-08
Average_tr,StackingRegressor,0.0001275000356332,2.3733431245404795e-05,0.9999999814684236
Average_ts,StackingRegressor,0.0002598826069705,4.093242394095708e-05,0.9999999208266104
